Brand,Name,Price,Delivery,Return/Exchange,Availability,Product Link
Kadence,"Kadence Frontier Jumbo Semi Acoustic Guitar With Die Cast Keys, Super Combo (Bag, 1 pack Strings, Strap, Picks, Capo (Black)","6,698","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Equalizer/dp/B01HRIHJWY/ref=sr_1_25?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-25
JUAREZ,"Juarez Acoustic Guitar, 38 Inch Cutaway with Pick Guard, 38CPG with Bag, Strings, Pick and Strap, Black","2,749","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B075XMRKMY/ref=sr_1_26?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-26
YAMAHA,Yamaha FS80C 25 Incheses sprucewood The Ultimate Concert Body Cutaway Acoustic Guitar (Black) With Bajaao Gig-Bag,"8,699","Wednesday, 28 December",7 days Replacement,Only 2 left in stock.,https://www.amazon.in/Ultimate-Concert-Cutaway-Acoustic-Bajaao/dp/B08WHWKKV5/ref=sr_1_27?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-27
Intern,"Intern 38C Wooden Acoustic Steel-String Guitar Premium White Cutaway Design With Carry Bag, Strings, Guitar Strap And Plectrums (Int-38C-Wh)","2,499","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Intern-Acoustic-Steel-string-plectrums-INT-38C-WH/dp/B09LR94Z2X/ref=sr_1_28?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-28
Juârez,"Juârez JRZ38C/ZEB 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Zebrawood with Bag, Strings, Picks and Strap","3,339","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Juarez-Strings-Acoustic-Cutaway-Zebrawood/dp/B072Q9L8DG/ref=sr_1_29?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-29
Kadence,"Kadence Slowhand Premium Jumbo Semi Acoustic Guitar with Heavy Padded Bag, guitar cable, Pro Capo (Black Spruce Wood)","9,900","Thursday, 29 December",7 days Replacement,,https://www.amazon.in/Kadence-Slowhand-Premium-Acoustic-Instrument/dp/B077SZ667X/ref=sr_1_30?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-30
Medellin,"Medellin M38 carbon fiber body 38 Incheses Acoustic Guitar (Red) Durable Matt finish With hAndrest, strings, strap, bag, 3 Picks, capo, stAnd","2,428","Thursday, 29 December",7 days Replacement,In stock.,https://www.amazon.in/Medellin-carbn-fiber-guitar-38inch/dp/B09MSGVCDV/ref=sr_1_31?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-31
Medellin,"Medellin M38 carbon fiber body 38 Incheses Acoustic Guitar (Blue Burst) Durable Matt finish With hAndrest, strings, strap, bag, 3 Picks, capo, stAnd","2,428","Wednesday, 28 December",7 days Replacement,In stock.,https://www.amazon.in/Medellin-Acoustic-Guitar-Carbon-Learning/dp/B09MSGMQ3Y/ref=sr_1_32?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-32
REVEL,Revel 38 Inches Cutaway Design Acoustic Guitar with Carry bag and Plectrums. Great tone and Beginner/Learners standard size configuration for all age groups (White),"2,399","Wednesday, 28 December",7 days Replacement,Only 1 left in stock.,https://www.amazon.in/Acoustic-Plectrums-Beginner-Learners-configuration/dp/B09W5TQD6G/ref=sr_1_33_mod_primary_new?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=guitar%2Caps%2C410&sr=8-33
Kadence,"Kadence Guitar Acoustica Series, 41” Jumbo Size 6-strings Acoustic Guitar, Spruce body with Pick Guard A311 with bag… B07JKYWGJN (KAD-A-311)","6,998","Thursday, 29 December",7 days Replacement,In stock.,https://www.amazon.in/Kadence-6-strings-Acoustic-Guitar-Natural/dp/B07JKYWGJN/ref=sr_1_34?crid=2WL0QRE4DVVCT&keywords=Guitar&qid=1672035594&sprefix=guitar%2Caps%2C410&sr=8-34
